Provider Name,DBT-A Certified,Adherent Team Only,Full Address (DHS),City,State,ZIP,Phone (DHS),Website (DHS),Logo File,Logo URL (CDN),Contact Page URL,Staff/Team Page URL,Email,Phone (Website),Fax,Services Offered,DBT Services Description,Ages Served,Accepts Insurance,Telehealth Available,In-Person Available,Staff Names,Staff Credentials,Specialties,Sliding Scale,Accepting New Clients,Facebook URL,Instagram URL,Notes,Data Source
Addictions and Stress Clinic dba ASC Psychological Services,No,No,"12 Civic Center Plaza, #615, Mankato, MN, 56001",Mankato,MN,56001,507-345-4679,https://www.ascpsychological.com/contact-us/,addictions_and_stress_clinic_dba_asc_psychological.png,https://files.manuscdn.com/user_upload_by_module/session_file/310519663525543262/YtZWtBmphpBfUcWd.png,https://www.ascpsychological.com/contact-us/,https://www.ascpsychological.com/our-team-of-mental-health-experts/,Not found,(507) 345-4679,(507) 345-8685,"Individual therapy, Couples therapy, Family therapy, Group therapy, EMDR, Forensics testimony, Evaluations",Unknown,All ages,Yes - a range of insurance carriers as well as Medicare,Yes,Yes,"Dr. George Komaridis, Sandra Johnson, Jeff Seidl, Tammy Eiler, Hector Matascastillo","PhD, LP, LICSW, Mental Health Practitioner, LADC, MSW, LMFT, LPCC, PsyD, LGSW","Trauma, Grief, Addiction, Behavioral issues, Post-traumatic stress",Yes,Unknown,https://www.facebook.com/ASCPsychological,Not found,"Offers services in Mankato and Roseville, MN.",MN DHS + Website Enrichment
Addictions and Stress Clinic dba ASC Psychological Services,No,No,"2277 Highway 36, # 150 & # 155, Roseville, MN, 55113",Roseville,MN,55113,507-345-4679,https://www.ascpsychological.com/contact-us/,addictions_and_stress_clinic_dba_asc_psychological.png,https://files.manuscdn.com/user_upload_by_module/session_file/310519663525543262/YtZWtBmphpBfUcWd.png,https://www.ascpsychological.com/contact-us/,https://www.ascpsychological.com/our-team-of-mental-health-experts/,Not found,(507) 345-4679,(507) 345-8685,"Individual therapy, Couples therapy, Family therapy, Group therapy, EMDR, Forensics testimony, Evaluations",Unknown,All ages,Yes - a range of insurance carriers as well as Medicare,Yes,Yes,"Dr. George Komaridis, Sandra Johnson, Jeff Seidl, Tammy Eiler, Hector Matascastillo","PhD, LP, LICSW, Mental Health Practitioner, LADC, MSW, LMFT, LPCC, PsyD, LGSW","Trauma, Grief, Addiction, Behavioral issues, Post-traumatic stress",Yes,Unknown,https://www.facebook.com/ASCPsychological,Not found,"Offers services in Mankato and Roseville, MN.",MN DHS + Website Enrichment
"Advanced Behavioral Health, Inc",No,No,"6160 Summit Dr N, Ste 375, Brooklyn Center, MN, 55430",Brooklyn Center,MN,55430,763-560-8331,http://www.abhtherapy.com/,,,Not found,Not found,Not found,763-560-8331,Not found,"Psychological and behavioral services, Developmental challenges, Traumatic brain injuries, Mental illness",Unknown,Adults and Adolescents,Unknown,Yes,Unknown,Not found,Not found,Not found,Unknown,Unknown,Not found,Not found,"Website frequently shows a 'Robot Challenge Screen' or becomes unavailable, making full extraction difficult.",MN DHS + Website Enrichment
Align Your Soul Counseling,Yes,No,"Ironwood Square Building, 300 3rd Ave, Suite 302, Rochester, MN, 55904",Rochester,MN,55904,507-218-5913,http://www.alignyoursoulcounseling.com/,,,http://www.alignyoursoulcounseling.com/,https://www.alignyoursoulcounseling.com/about-1,Not found,507-703-6377,By email,"Outpatient Mental Health Therapy Services, Immigration Evaluation, EMDR, DBT, Talk Therapy",The website mentions DBT as a modality offered by the therapists.,Unknown,Unknown,Unknown,Unknown,"Thu Park, Janneu Passow, Stacy Naden","MS, LPCC DBT-Linehan Board of Certification, Certified Clinician™","Trauma, Anxiety, Depression, BIPOC, LGBTQIA2S+",Unknown,Unknown,Not found,Not found,The website mentions that Thu Park opened Align Your Soul Counseling in January 2024. The practice focuses on underserved populations.,MN DHS + Website Enrichment
"Art of Counseling, PLLC",Yes,No,"275 4th St East, Suite 301, St. Paul, MN, 55101",St. Paul,MN,55101,651-318-0109,https://artofcounselingstpaul.com/,,,https://artofcounselingstpaul.com/contact/,https://artofcounselingstpaul.com/therapists/,Not found,(651) 318-0109,(651) 344-0515,"Art therapy, traditional talk therapy, DBT, EMDR, individual, group, family services","This is a 24 week, virtual DBT group. Together we will learn skills for Mindfulness, Emotion Regulation, Distress Tolerance, and Interpersonal Effectiveness. In addition, we will learn WHY these skills are helpful in managing intense emotions while improving the relationships we have with ourselves and others.",Adults,Unknown,Yes,Unknown,"Emmaline, Beth Skelton, Joan Balcome, Leah Fargo, Rami (Ramiro) Figueroa","Admin, MA, LMFT, ATR, BS, MSW, LICSW, PsyD, LP",Not found,Unknown,Unknown,https://www.facebook.com/artofcounseling/,https://www.instagram.com/artofcounseling/,None,MN DHS + Website Enrichment
Art of Validation and Change,No,No,"790 Cleveland Avenue S, Suite 211, St. Paul, MN, 55116",St. Paul,MN,55116,612-245-4683,https://kristenlund.com/,art_of_validation_and_change.jpg,https://files.manuscdn.com/user_upload_by_module/session_file/310519663525543262/cZUfKfJffPNtaiVM.jpg,https://kristenlund.com/our-therapy-team/,https://kristenlund.com/our-therapy-team/,avc@kristenlund.com,Not found,Not found,"Individual DBT, Group DBT, Skills Training, Psychotherapy, Counseling, Exposure Therapy, Mindfulness-Based Psychotherapy, Accelerated Art Therapy (A.R.T.), Somatic Experiencing (S.E.)","The clinic offers Individual and Group DBT for both adolescents and adults, following the evidence-based model. The owner, Kristen Lund, has over 25 years of experience and the clinic is state-certified.","Children, Adolescents, Adults",Unknown,Yes,Yes,"Kristen Lund, Andrea Kinney McGowan, Alissa Chait, Erica Delles, Emily Moews","MSW, LICSW, MA, LPCC, LGSW","Anxiety, ADHD, Bi-polar disorder, Depression, Trauma, PTSD, Personality Disorders, Self-harm, Suicidality, Grief, Substance use, Life transitions, Parenting, Intimacy struggles, Body positivity, Queer and nonbinary folks",Unknown,Unknown,Not found,Not found,The clinic is a Minnesota State Certified DBT provider.,MN DHS + Website Enrichment
Associated Clinic of Psychology (ACP DBT),Yes,No,"4027 County Road 25, Minneapolis, MN, 55416",Minneapolis,MN,55416,612-925-6033,http://acp-mn.com/,associated_clinic_of_psychology__acp_dbt.png,https://files.manuscdn.com/user_upload_by_module/session_file/310519663525543262/nVfsTqlsKWrffZqs.png,Not found,https://acp-mn.com/about-acp/careers/clinic-based-team/,Not found,612-925-6033,612.925.8496,"Adult Therapy, Child & Adolescent Therapy, Psychological Testing, Medication Management, DBT, Medication-Assisted Treatment (MAT), Geriatric Services, Community-Based Services, Psychiatry","Our team comprises a highly trained, close-knit group of clinicians who are encouraged to develop their interests and specialties while adhering to DBT principles. To foster growth, ACP provides high-level ongoing and specialized training and individualized support for clinicians interested in learning and practicing this multi-pronged treatment approach.","Adults, Adolescents, Children",Yes - All major insurance plans,Yes,Yes,"John Brose, Justin Miles, Kristen Schmidt-Shay, Leah Jones, Sean M. Reardon","PhD, LP, LMFT, LADC, MD, MSW, LICSW, MA, LPCC","DBT, Trauma, Anxiety, BPD, Eating Disorders",Unknown,Yes,Not found,Not found,"ACP has 7 clinic locations: Minneapolis, Apple Valley, Brooklyn Center, West St. Paul, St. Paul, Hudson, WI, and West Metro (St. Louis Park).",MN DHS + Website Enrichment
Associated Clinic of Psychology (ACP DBT),Yes,No,"6950 W 146th St, Suite 100, Apple Valley, MN, 55124",Apple Valley,MN,55124,952-432-1484,http://acp-mn.com/,associated_clinic_of_psychology__acp_dbt.png,https://files.manuscdn.com/user_upload_by_module/session_file/310519663525543262/nVfsTqlsKWrffZqs.png,Not found,https://acp-mn.com/about-acp/careers/clinic-based-team/,Not found,612-925-6033,612.925.8496,"Adult Therapy, Child & Adolescent Therapy, Psychological Testing, Medication Management, DBT, Medication-Assisted Treatment (MAT), Geriatric Services, Community-Based Services, Psychiatry","Our team comprises a highly trained, close-knit group of clinicians who are encouraged to develop their interests and specialties while adhering to DBT principles. To foster growth, ACP provides high-level ongoing and specialized training and individualized support for clinicians interested in learning and practicing this multi-pronged treatment approach.","Adults, Adolescents, Children",Yes - All major insurance plans,Yes,Yes,"John Brose, Justin Miles, Kristen Schmidt-Shay, Leah Jones, Sean M. Reardon","PhD, LP, LMFT, LADC, MD, MSW, LICSW, MA, LPCC","DBT, Trauma, Anxiety, BPD, Eating Disorders",Unknown,Yes,Not found,Not found,"ACP has 7 clinic locations: Minneapolis, Apple Valley, Brooklyn Center, West St. Paul, St. Paul, Hudson, WI, and West Metro (St. Louis Park).",MN DHS + Website Enrichment
Associated Clinic of Psychology (ACP DBT),Yes,No,"149 Thompson Ave E, Suite 150, W. St. Paul, MN, 55118",W. St. Paul,MN,55118,651-450-0860,http://acp-mn.com/,associated_clinic_of_psychology__acp_dbt.png,https://files.manuscdn.com/user_upload_by_module/session_file/310519663525543262/nVfsTqlsKWrffZqs.png,Not found,https://acp-mn.com/about-acp/careers/clinic-based-team/,Not found,612-925-6033,612.925.8496,"Adult Therapy, Child & Adolescent Therapy, Psychological Testing, Medication Management, DBT, Medication-Assisted Treatment (MAT), Geriatric Services, Community-Based Services, Psychiatry","Our team comprises a highly trained, close-knit group of clinicians who are encouraged to develop their interests and specialties while adhering to DBT principles. To foster growth, ACP provides high-level ongoing and specialized training and individualized support for clinicians interested in learning and practicing this multi-pronged treatment approach.","Adults, Adolescents, Children",Yes - All major insurance plans,Yes,Yes,"John Brose, Justin Miles, Kristen Schmidt-Shay, Leah Jones, Sean M. Reardon","PhD, LP, LMFT, LADC, MD, MSW, LICSW, MA, LPCC","DBT, Trauma, Anxiety, BPD, Eating Disorders",Unknown,Yes,Not found,Not found,"ACP has 7 clinic locations: Minneapolis, Apple Valley, Brooklyn Center, West St. Paul, St. Paul, Hudson, WI, and West Metro (St. Louis Park).",MN DHS + Website Enrichment
Autonomy Counseling,No,No,"800 Holiday Dr, Suite 170, Moorhead, MN, 56560",Moorhead,MN,56560,218 293 4221,https://www.autonomycounseling.com/,autonomy_counseling.jpg,https://files.manuscdn.com/user_upload_by_module/session_file/310519663525543262/tQvpUutbhWkOnvQX.jpg,https://www.autonomycounseling.com/contact,https://www.autonomycounseling.com/providers,autonomypllc@gmail.com,218-979-3828,218-231-8914,"Medication Management, Dialectical Behavioral Therapy (DBT), DBT for Adolescents (DBT-A), Emotional Support Animal (ESA) Assessment, Trauma Therapy, Cognitive Behavioral Therapy (CBT), CBT for Insomnia (CBT-I), Co-Parenting Therapy","A comprehensive DBT program that includes weekly skills group, individual therapy, phone coaching, diary card tracking, and therapist consultation to provide full-spectrum support for emotional regulation and behavioral change.","children, teens, and adults",Unknown,Unknown,Unknown,"Sarah Terpstra, Shelby Blair, Jo Ripplinger, Ashley Peterson, Leslie Funk","Psychiatric-Mental Health Nurse Practitioner (PMHNP), Clinical Therapist Intern, Outpatient Behavioral Health Therapist, Licensed Professional Clinical Counselor (LPCC), Clinic Director, Office Manager, Office Assistant",Not found,Unknown,Unknown,Not found,Not found,Not found,MN DHS + Website Enrichment
