"id","name","dbta_certified","availability","address","city","state","zip","website","image","phone","email","dbt_certificate_expires","manager_id","inserted_at","updated_at"
1,"ASC Psychological Services - Mankato",FALSE,TRUE,"12 Civic Center Plaza #615","Mankato","MN","56001","https://www.ascpsychological.com/contact-us/","asc-psychological-services.webp","507-345-4679",,"2024-08-23 00:00:00-05",,"2025-02-12 21:44:53.373922-06","2025-02-22 00:00:00-06"
2,"ASC Psychological Services - Roseville",FALSE,TRUE,"2277 Highway 36 #150 & #155","Roseville","MN","55113","https://www.ascpsychological.com/contact-us/","asc-psychological-services.webp","507-345-4679",,"2024-08-23 00:00:00-05",,"2025-02-12 21:44:53.373922-06","2025-02-22 00:00:00-06"
3,"Advanced Behavioral Health",FALSE,FALSE,"6160 Summit Dr N Ste 375","Brooklyn Center","MN","55430","http://www.abhtherapy.com/","advanded-behavioral-health-inc.png","763-560-8331",,"2026-06-01 00:00:00-05",,"2025-02-12 21:44:53.373922-06","2025-02-12 21:44:53.373922-06"
4,"Align Your Soul Counseling Provider",TRUE,FALSE,"Ironwood Square Building 300 3rd Ave Suite 302","Rochester","MN","55904","http://www.alignyoursoulcounseling.com/",,"507-218-5913",,"2026-06-26 00:00:00-05",,"2025-02-12 21:44:53.373922-06","2025-02-12 21:44:53.373922-06"
5,"Art of Counseling PLLC Provider",TRUE,FALSE,"275 4th St East Suite 301","St Paul","MN","55101","https://artofcounselingstpaul.com/",,"651-318-0109",,"2026-12-01 00:00:00-06",,"2025-02-12 21:44:53.373922-06","2025-02-12 21:44:53.373922-06"
7,"Associated Clinic of Psychology (ACP DBT) Provider - Apple Valley",TRUE,FALSE,"6950 W 146th St Suite 100","Apple Valley","MN","55124","http://acp-mn.com/",,"952-432-1484",,"2026-02-21 00:00:00-06",,"2025-02-12 21:44:53.373922-06","2025-02-12 21:44:53.373922-06"
6,"Associated Clinic of Psychology (ACP DBT) Provider - Minneapolis",TRUE,TRUE,"4027 County Road 25","Minneapolis","MN","55416","http://acp-mn.com/",,"612-925-6033",,"2026-02-21 00:00:00-06",,"2025-02-12 21:44:53.373922-06","2025-02-12 21:44:53.373922-06"
8,"Associated Clinic of Psychology (ACP DBT) Provider - St Paul",TRUE,FALSE,"149 Thompson Ave E Suite 150W","St Paul","MN","55118","http://acp-mn.com/",,"651-450-0860",,"2026-02-11 00:00:00-06",,"2025-02-12 21:44:53.373922-06","2025-02-12 21:44:53.373922-06"
9,"Autonomy Counseling",FALSE,FALSE,"800 Holiday Dr Suite 170","Moorhead","MN","56560","https://www.autonomycounseling.com/",,"218 293 4221",,"2027-09-06 00:00:00-05",,"2025-02-12 21:44:53.373922-06","2025-02-12 21:44:53.373922-06"
10,"Avalon St Anthony Park - Meridian Behavioral Health",FALSE,FALSE,"1821 University Avenue West Suite N 385","St Paul","MN","55104","https://nbminnesota.com/",,"612-326-7579",,"2024-10-31 00:00:00-05",,"2025-02-12 21:44:53.373922-06","2025-02-12 21:44:53.373922-06"
12,"Choices Psychotherapy - Bloomington",FALSE,FALSE,"7901 Xerxes Ave S Suite 225","Bloomington","MN","55431","https://choicespsychotherapy.net/services/dbt/",,"952-544-6806",,"2027-04-12 00:00:00-05",5,"2025-02-12 21:44:53.373922-06","2025-02-12 21:44:53.373922-06"
13,"Choices Psychotherapy - Chanhassen",FALSE,FALSE,"7975 Stone Creek Dr Suite 130","Chanhassen","MN","55317","https://choicespsychotherapy.net/services/dbt/",,"952-544-6806",,"2027-04-12 00:00:00-05",5,"2025-02-12 21:44:53.373922-06","2025-02-12 21:44:53.373922-06"
11,"Choices Psychotherapy - Minnetonka",FALSE,TRUE,"10201 Wayzata Boulevard Suite 100","Minnetonka","MN","55305","https://choicespsychotherapy.net/services/dbt/",,"952-544-6806",,"2027-04-12 00:00:00-05",5,"2025-02-12 21:44:53.373922-06","2025-02-12 21:44:53.373922-06"
15,"DBT Associates Provider",TRUE,FALSE,"7362 University Avenue Northeast Suite 101","Fridley","MN","55432","https://www.dbtassociates.com/",,"763-503-3981",,"2026-01-22 00:00:00-06",,"2025-02-12 21:44:53.373922-06","2025-02-12 21:44:53.373922-06"
14,"DBT-PTSD & EMDR Specialist",FALSE,FALSE,"10000 Hwy 55 Suite 300","Plymouth","MN","55441","https://dbt-ptsdspecialists.com/",,"763-412-0722",,"2026-08-31 00:00:00-05",,"2025-02-12 21:44:53.373922-06","2025-02-12 21:44:53.373922-06"
16,"Elevacare dba Southwest Mental Health Clinic",FALSE,TRUE,"1210 5th Avenue","Worthington","MN","56187","https://www.elevacare.org/",,"507-376-4141",,"2025-09-30 00:00:00-05",,"2025-02-12 21:44:53.373922-06","2025-02-12 21:44:53.373922-06"
17,"Family Services of Rochester Provider",TRUE,TRUE,"4600 18th Avenue Northwest","Rochester","MN","55901","http://familyservicerochester.org/",,"507-507-2010",,"2026-04-14 00:00:00-05",,"2025-02-12 21:44:53.373922-06","2025-02-12 21:44:53.373922-06"
20,"HP Psychological Associates PC",FALSE,FALSE,"4815 Burning Tree Road Ste 200","Duluth","MN","55811","http://www.hppsychological.com/",,"218-464-0908",,"2025-05-12 00:00:00-05",,"2025-02-12 21:44:53.373922-06","2025-02-12 21:44:53.373922-06"
18,"Healing Connections Therapy Center",FALSE,FALSE,"1751 Southcross Drive West","Burnsville","MN","55306","http://www.healingconnectionsonline.com/",,"952-892-7690",,"2026-06-01 00:00:00-05",,"2025-02-12 21:44:53.373922-06","2025-02-12 21:44:53.373922-06"
19,"Healthy Minds",FALSE,FALSE,"400 Selby Ave Ste Q","St Paul","MN","55102","https://www.healthyminds.io/",,"651-571-2865",,"2025-02-05 00:00:00-06",,"2025-02-12 21:44:53.373922-06","2025-02-12 21:44:53.373922-06"
21,"Imagine Mental Health Counseling",FALSE,FALSE,"116 Ash Ave NW Suite 2","Wadena","MN","56482","https://imaginemhc.com/",,"218-632-4300",,"2025-01-18 00:00:00-06",,"2025-02-12 21:44:53.373922-06","2025-02-12 21:44:53.373922-06"
