Provider,Street Address,City,State,Zip Code,Website,Telephone,Expiration Date
Addictions and Stress Clinic dba ASC Psychological Services,12 Civic Center Plaza #615,Mankato,MN,56001,https://www.ascpsychological.com/contact-us/,507-345-4679,"August 23, 2024"
Addictions and Stress Clinic dba ASC Psychological Services,2277 Highway 36 # 150 & # 155,Roseville,MN,55113,https://www.ascpsychological.com/contact-us/,507-345-4679,"August 23, 2024"
"Advanced Behavioral Health, Inc",6160 Summit Dr N Ste 375,Brooklyn Center,MN,55430,http://www.abhtherapy.com/,763-560-8331,"June 1, 2026"
Align Your Soul CounselingDBT-A Certified Provider,Ironwood Square Building 300 3rdAve Suite 302,Rochester,MN,55904,http://www.alignyoursoulcounseling.com/,507-218-5913,"June 26, 2026"
"Art of Counseling, PLLCDBT-A Certified Provider","275 4th St EastSuite 301St. Paul, MN",,,,https://artofcounselingstpaul.com/,651-318-0109,"December 1, 2026"
Associated Clinic of Psychology (ACP DBT)DBT-A Certified Provider,"4027 County Road 25Minneapolis, MN 55416",,,,http://acp-mn.com/,612-925-6033,"February 21, 2026"
Associated Clinic of Psychology (ACP DBT)DBT-A Certified Provider,"6950 W 146thStSuite 100Apple Valley, MN 55124",,,,http://acp-mn.com/,952-432-1484,"February 21, 2026"
Associated Clinic of Psychology (ACP DBT)DBT-A Certified Provider,"149 Thompson Ave ESuite 150W. St. Paul, MN 55118",,,,http://acp-mn.com/,651-450-0860,"February 11, 2026"
Autonomy Counseling,800 Holiday Dr Suite 170,Moorhead,MN,56560,https://www.autonomycounseling.com/,218 293 4221,"September 6, 2027"
Avalon St Anthony Park - Meridian Behavioral Health,"1821 University Avenue WestSuite N 385St Paul, MN",,,,https://nbminnesota.com/,612-326-7579,"October 31, 2024"
Choices Psychotherapy Ltd,"10201 Wayzata BoulevardSuite 100Minnetonka, MN 55305",,,,https://choicespsychotherapy.net/services/dbt/,952-544-6806,"April 12, 2027"
Choices Psychotherapy Ltd,"7901 Xerxes Ave S Suite 225 Bloomington, MN",,,,https://choicespsychotherapy.net/services/dbt/,952-544-6806,"April 12, 2027"
Choices Psychotherapy Ltd,"7975 Stone Creek Dr Suite 130 Chanhassen, MN",,,,https://choicespsychotherapy.net/services/dbt/,952-544-6806,"April 12, 2027"
DBT-PTSD & EMDR Specialist,10000 Hwy 55 Suite 300,Plymouth,MN,55441,https://dbt-ptsdspecialists.com/,763-412-0722,"August 31, 2026"
DBT AssociatesDBT-A Certified Provider,"7362 University Avenue NortheastSuite 101Fridley, MN 55432",,,,https://www.dbtassociates.com/,763-503-3981,"January 22, 2026"
Elevacare dba Southwest Mental Health Clinic,1210 5thAvenue,Worthington,MN,56187,,507-376-4141,"September 30, 2025"
Family Services of RochesterDBT-A Certified Provider,"4600 18thAvenue NorthwestRochester, MN 55901",,,,http://familyservicerochester.org/,507-507-2010,"April 14, 2026"
Healing Connections Therapy Center,"1751 Southcross Drive WestBurnsville, MN 55306",,,,http://www.healingconnectionsonline.com/,952-892-7690,"June 1, 2026"
Healthy Minds,"400 Selby Ave Ste Q St. Paul, MN",,,,https://www.healthyminds.io/,651-571-2865,"February 5, 2025"
HP Psychological Associates PC,"4815 Burning Tree Road, Ste 200Duluth, MN",,,,http://www.hppsychological.com/,218-464-0908,"May 12, 2025"
Imagine Mental Health Counseling,"116 Ash Ave NW Suite 2 Wadena, MN",,,,https://imaginemhc.com/,218-632-4300,"January 18, 2025"
Independent Management ServicesDBT-A Certified Provider,"101 21stStreet Suite 1 Austin, MN",,,,https://www.imsofmn.com/,507-437-6389,"May 14, 2026"
Independent Management ServicesDBT-A Certified Provider,226 W Clark Street,Albert Lea,MN,56007,https://www.imsofmn.com/,507-437-6389,"May 14, 2026"
Lakeland Mental Health Center,702 34thAvenue East,Alexandria,MN,56308,https://lmhc.org/,320-762-2400,"May 18, 2026"
Life Development Resources PADBT-A Certified Provider,"7580 160thStreet WestLakeville, MN",,,,http://lifedrs.com/,952-898-1133,"July 18, 2026"
Life Development Resources PADBT-A Certified Provider,"1619 Dayton AvenueSt. Paul, MN",,,,http://lifedrs.com/,952-898-1133,"July 18, 2026"
Lighthouse Child & Family Services LLC,"160 3rdAvenue NorthwestMilaca, MN",,,,http://www.lighthousecfs.com/,320-983-2335,"August 31, 2026"
MAP Behavioral Health Center,"324 West Superior St Suite 260 Duluth, MN",,,,https://www.mapbhc.com/,218 606-1797,"September 1, 2024"
The Meadows Counseling CenterDBT-A Certified Provider,"3737 40thAvenue NorthwestRochester, MN 55901",,,,http://www.highlandmeadowscc.com/,507-288-6978,"October 30, 2027"
Mental Health SystemsAdherent Team Only,"6600 France AvenueSuite 230Edina, MN",,,,https://www.mhs-dbt.com/,952-835-2002,"October 4, 2026"
Mental Health SystemsAdherent Team Only,"6063 Hudson RoadSuite 200Woodbury, MN 55125",,,,https://www.mhs-dbt.com/,763-325-1686,"October 4, 2026"
