Provider,Column 2,Availability,Street Address,City,State,Zip Code,Website,Phone,Expiration Date
Addictions and Stress Clinic dba ASC Psychological Services,FALSE,TRUE,12 Civic Center Plaza #615,Mankato,MN,56001,https://www.ascpsychological.com/contact-us/,507-345-4679,"August 23, 2024"
Addictions and Stress Clinic dba ASC Psychological Services,FALSE,TRUE,2277 Highway 36 #150 & #155,Roseville,MN,55113,https://www.ascpsychological.com/contact-us/,507-345-4679,"August 23, 2024"
"Advanced Behavioral Health, Inc",FALSE,FALSE,6160 Summit Dr N Ste 375,Brooklyn Center,MN,55430,http://www.abhtherapy.com/,763-560-8331,"June 1, 2026"
Align Your Soul Counseling Provider,TRUE,FALSE,Ironwood Square Building 300 3rd Ave Suite 302,Rochester,MN,55904,http://www.alignyoursoulcounseling.com/,507-218-5913,"June 26, 2026"
Art of Counseling PLLC Provider,TRUE,FALSE,275 4th St East Suite 301,St Paul,MN,55101,https://artofcounselingstpaul.com/,651-318-0109,"December 1, 2026"
Associated Clinic of Psychology (ACP DBT) Provider,TRUE,TRUE,4027 County Road 25,Minneapolis,MN,55416,http://acp-mn.com/,612-925-6033,"February 21, 2026"
Associated Clinic of Psychology (ACP DBT) Provider,TRUE,FALSE,6950 W 146th St Suite 100,Apple Valley,MN,55124,http://acp-mn.com/,952-432-1484,"February 21, 2026"
Associated Clinic of Psychology (ACP DBT) Provider,TRUE,FALSE,149 Thompson Ave E Suite 150W,St Paul,MN,55118,http://acp-mn.com/,651-450-0860,"February 11, 2026"
Autonomy Counseling,FALSE,FALSE,800 Holiday Dr Suite 170,Moorhead,MN,56560,https://www.autonomycounseling.com/,218 293 4221,"September 6, 2027"
Avalon St Anthony Park - Meridian Behavioral Health,FALSE,FALSE,1821 University Avenue West Suite N 385,St Paul,MN,55104,https://nbminnesota.com/,612-326-7579,"October 31, 2024"
Choices Psychotherapy Ltd,FALSE,FALSE,10201 Wayzata Boulevard Suite 100,Minnetonka,MN,55305,https://choicespsychotherapy.net/services/dbt/,952-544-6806,"April 12, 2027"
